Hydrogenoanaerobacterium,Granulicatella,Coprococcus,Phascolarctobacterium,Victivallis,Dorea,Desulfosporosinus,Ruminococcus,Peptostreptococcus,Sarcina,Marvinbryantia,Subdoligranulum,Akkermansia,Veillonella,Campylobacter,Tetragenococcus,Dialister,Pantoea,Pseudomonas,Enterorhabdus,Christensenella,Collinsella,Candidatus Arthromitus,Bacillus,Gemella,Parabacteroides,Faecalibacterium,Anaerotruncus,Streptococcus,Alistipes,Anaerostipes,Anaerosporobacter,Halanaerobium,Clostridium,Butyricimonas,Coprobacillus,Holdemania,Alkalispirillum,Macellibacteroides,Propionispora,Enterobacter,Peptococcus,Finegoldia,Escherichia,Marichromatium,Klebsiella,Oscillibacter,Halorhodospira,Lactobacillus,Serratia,Shigella,Bilophila,Pseudobutyrivibrio,Blautia,Kluyvera,Morganella,Providencia,Salmonella,Wautersiella,Eubacterium,Sutterella,Peptoniphilus,Adlercreutzia,Corynebacterium,Parvimonas,Parasutterella,Tatumella,Bacteroides,Butyrivibrio,Flavonifractor,Barnesiella,Desulfovibrio,Prevotella,Roseburia,Anoxynatronum,Lachnospira,Oceanicola,Thalassospira,Pectobacterium,Acetitomaculum,Odoribacter,Mannheimia,Globicatella,Caulobacter,Marinomonas,Gordonibacter,Leuconostoc,Staphylococcus,Thermincola,Paludibacter,Peptoclostridium,Sporobacter,Aquisalimonas,Aggregatibacter,Sporomusa,Acetobacterium,Neisseria,Moryella,Actinomyces,Gardnerella,Eikenella,Oribacterium,Erysipelatoclostridium,Pseudoflavonifractor,Dielma,Eggerthella,Varibaculum,Gluconacetobacter,Pasteurella,Oscillospira,Actinobacillus,Bifidobacterium,Rothia,Oxalicibacterium,Haemophilus,Anaerofilum,Paenibacillus,Pectinatus,Fusobacterium,Nocardia,Tannerella,Megasphaera,Ahrensia,Herbaspirillum,Reichenbachiella,Papillibacter,Johnsonella,Thiothrix,Senegalimassilia,Parvibacter,Lactococcus,Xanthomonas,Desulfotomaculum,Slackia,Enorma,Porphyromonas,Dysgonomonas,Olsenella,Desulfovirgula,Sporobacterium,Tolumonas,Flavobacterium,Enterococcus,Chlorochromatium,Octadecabacter,Sideroxydans,Mogibacterium,Catabacter,Cellulosilyticum,Cronobacter,Cerasibacillus,Intestinimonas,Porphyrobacter,Pseudochrobactrum,Gallaecimonas,Afipia,Proteiniphilum,Myroides,Sulfurimonas,Pediococcus,Candidatus Curculioniphilus,Laceyella,Photorhabdus,Aerococcus,Shuttleworthia,Acetanaerobacterium,Agromyces,Alicyclobacillus,Zobellia,Alteribacillus,Thioalkalivibrio,Novispirillum,Robinsoniella,Erwinia,Citrobacter,Burkholderia,Chromobacterium,Acetivibrio,Leptotrichia,Weissella,Plesiomonas,Aeromonas,Anaerococcus,Leptonema,Candidatus Armantifilum,Rickettsia,Rhodococcus,Lachnobacterium,Tamlana,Heliobacillus,Cytophaga,Arenibacter,Mesorhizobium,Atopobium,Geobacillus,Acinetobacter,Leptolyngbya,Vibrio,Murdochiella,Halothiobacillus,Anaeroplasma,Lonsdalea,Phenylobacterium,Solobacterium,Oceanobacillus,Desulfobotulus,Candidatus Marithioploca,Acidithiobacillus,Dickeya,Methylogaea,Streptomyces,Flexibacter,Candidatus Soleaferrea,Candidatus Stammerula,Devosia,Candidatus Isobeggiatoa,Thiomargarita,Chryseobacterium,Planifilum,Ochrobactrum,Caldicoprobacter,Dethiobacter,Desulfobulbus,Filifactor,Turicibacter,Halobacillus,Natranaerovirga,Howardella,Filimonas,Kineosporia,Brevundimonas,Buchnera,Cellvibrio,Rahnella,Psychroserpens,Hafnia,Yersinia,Balnearium,Sodalis,Azospirillum,Leptospirillum,Anaerobacter,Francisella,Methylobacter,Methylomonas,Hansschlegelia,Desulfitobacterium,Planomicrobium,Geodermatophilus,Desulfocella,Catenibacterium,Hespellia,Anaerofustis,Brasilonema,Syntrophobacter,Rubellimicrobium,Lachnoanaerobaculum,Bradyrhizobium,Spongiibacter,Acidiferrobacter,Rhodobacter,Epulopiscium,Dechloromarinus,Alterococcus,Caldanaerobius,Proteiniborus,Herminiimonas,Dermabacter,Methylobacterium,Arthrobacter,Tenacibaculum,Chitinivorax,Lysinibacillus,Methylophaga,Granulosicoccus,Rhodopseudomonas,Fibrobacter,Catonella,Ewingella,Elizabethkingia,Achromobacter,Thermus,Oxalophagus,Acholeplasma,Fonticella,Fictibacillus,Trichococcus,Teredinibacter,Desulfobacca,Rhizobium,Caldanaerobacter,Pseudenhygromyxa,Desulfacinum,Paraprevotella,Desulfomonile,Abiotrophia,Moraxella,Listeria,Derxia,Sphingobacterium,Rheinheimera,Ignatzschineria,Thermicanus,Dolosigranulum,Alcaligenes,Comamonas,Thermoactinomyces,Hylemonella,Nitrosomonas,Nitrosococcus,Cesiribacter,Marinimicrobium,Oxalobacter,Thermolithobacter,Rhodovibrio,Saccharomonospora,Desulfuromonas,Moorella,Hippea,Promicromonospora,Oceanospirillum,Mitsuaria,Actinobaculum,Arenimonas,Dyadobacter,Methylobacillus,Legionella,Bacteriovorax,Caloramator,Heliorestis,Coriobacterium,Catenulispora,Thioflavicoccus,Shimwellia,Desmospora,date
0.000269,0.000152,0.003478,0.000972,0.000176,0.006148,9.4e-05,0.084842,0.000644,0.003665,0.000222,0.000152,0.007378,2.3e-05,2.3e-05,0.000937,0.005832,0.014111,5.9e-05,2.3e-05,2.3e-05,0.000351,2.3e-05,4.7e-05,0.000609,0.058482,0.015505,0.003384,0.000164,0.010305,0.00527,0.000433,4.7e-05,0.100464,0.006944,0.000375,2.3e-05,0.000176,0.000187,2.3e-05,0.001534,0.000105,3.5e-05,4.7e-05,2.3e-05,2.3e-05,7e-05,0.000105,0.000855,0.000187,3.5e-05,0.002131,0.017917,0.014345,3.5e-05,0.004918,0.005235,0.000281,7e-05,0.036138,0.000199,2.3e-05,7e-05,2.3e-05,3.5e-05,0.000117,8.2e-05,0.130079,0.001827,0.000105,0.014134,0.01013,0.000632,0.019357,2.3e-05,0.003466,3.5e-05,0.000714,0.006862,0.000269,0.00096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14.2015
NA,NA,0.023585,0.000735,0.000224,0.025397,NA,0.073824,0.006398,0.000938,0.001939,0.002397,0.049818,9.1e-05,7.5e-05,NA,0.018556,0.011193,2.1e-05,NA,0.000416,0.006601,NA,3.2e-05,0.001657,0.030197,0.056083,0.010106,0.000693,0.010218,0.027394,1.6e-05,NA,0.01017,0.003117,0.000266,0.000474,NA,NA,NA,2.1e-05,0.000123,NA,NA,NA,NA,0.000357,2.1e-05,0.013335,1.1e-05,NA,0.003138,0.020511,0.112369,NA,8e-05,NA,0.000448,NA,0.016835,NA,NA,0.000202,1.1e-05,4.8e-05,0.000661,NA,0.071858,0.004758,7.5e-05,0.003149,0.010021,1.1e-05,0.015445,NA,0.001028,NA,0.013777,0.008439,7.5e-05,0.001753,0.00016,1.1e-05,1.6e-05,1.6e-05,5.3e-05,5.3e-05,1.6e-05,4.3e-05,3.2e-05,4.3e-05,4.3e-05,0.000208,1.6e-05,0.000101,1.1e-05,1.1e-05,1.1e-05,4.3e-05,0.000139,1.6e-05,7.5e-05,2.1e-05,2.1e-05,1.6e-05,5.3e-05,4.8e-05,1.6e-05,1.6e-05,5.9e-05,1.1e-05,0.000346,1.1e-05,1.6e-05,4.8e-05,2.7e-05,2.7e-05,1.6e-05,0.001039,1.1e-05,1.1e-05,0.000474,1.1e-05,0.004385,1.1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19.2014
0.000104,NA,0.012983,0.001639,NA,0.042304,5.2e-05,0.166875,0.00013,0.00052,0.002029,0.000494,0.065694,NA,NA,NA,0.004605,NA,NA,0.000208,5.2e-05,0.001925,0.000208,0.000104,NA,0.019929,0.014336,0.001353,5.2e-05,0.013269,0.068087,NA,NA,0.002107,0.001743,NA,NA,NA,NA,5.2e-05,NA,5.2e-05,NA,NA,NA,NA,NA,NA,0.004163,NA,NA,0.001587,0.002914,0.116115,NA,NA,NA,NA,NA,0.010485,NA,NA,0.001795,NA,NA,NA,NA,0.032157,0.00255,NA,0.009913,0.006218,0.000234,0.012774,NA,0.004839,NA,0.00039,NA,0.000234,0.00065,NA,NA,NA,NA,NA,NA,NA,NA,5.2e-05,NA,NA,NA,NA,NA,NA,NA,5.2e-05,5.2e-05,NA,NA,5.2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2e-05,NA,NA,NA,5.2e-05,7.8e-05,0.000104,5.2e-05,5.2e-05,5.2e-05,5.2e-05,7.8e-05,5.2e-05,0.00026,0.000104,7.8e-05,0.000104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25.2015
0.000116,NA,0.026954,0.000985,NA,0.020764,NA,0.054098,4.8e-05,7.5e-05,0.000965,0.03525,0.021063,2.7e-05,NA,NA,0.011952,9.5e-05,NA,NA,0.000156,0.002127,NA,2.7e-05,1.4e-05,0.010151,0.122505,0.011245,0.005442,0.022184,0.023543,0.000279,NA,0.022592,0.001434,1.4e-05,8.8e-05,6.8e-05,NA,6.1e-05,1.4e-05,2e-05,NA,0.000102,NA,NA,8.8e-05,NA,0.001291,0.00672,1.4e-05,0.000306,0.003846,0.077389,NA,NA,NA,0.000116,NA,0.012074,4.8e-05,NA,0.00248,NA,NA,0.000333,NA,0.043838,0.007753,2.7e-05,0.003146,0.016266,6.8e-05,0.045435,NA,0.005008,NA,1.4e-05,0.000313,0.001875,0.00108,NA,NA,NA,NA,8.8e-05,1.4e-05,NA,NA,NA,NA,2.7e-05,NA,NA,NA,NA,NA,0.000333,6.1e-05,NA,NA,1.4e-05,0.000136,NA,NA,1.4e-05,NA,NA,NA,NA,1.4e-05,0.000319,NA,NA,NA,2e-05,NA,NA,NA,NA,NA,NA,NA,5.4e-05,NA,4.8e-05,NA,NA,NA,NA,6.8e-05,NA,NA,NA,NA,NA,NA,1.4e-05,1.4e-05,1.4e-05,1.4e-05,1.4e-05,1.4e-05,6.1e-05,1.4e-05,4.1e-05,1.4e-05,2e-05,5.4e-05,0.142922,1.4e-05,1.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26.2013
5e-05,NA,0.003137,0.000751,1.5e-05,0.00771,0.000143,0.090402,0.000368,0.000604,0.000252,0.00211,0.011532,3.5e-05,NA,NA,0.002409,0.000376,5.4e-05,NA,5.4e-05,0.000252,8e-06,7.4e-05,0.000271,0.035754,0.153468,0.001421,0.000441,0.009,0.006266,0.000786,NA,0.005185,0.003501,NA,8e-06,NA,8e-06,5.4e-05,0.028335,1.5e-05,NA,0.000116,2.3e-05,0.001243,0.000112,NA,5.8e-05,0.000186,3.1e-05,0.001204,0.027758,0.021744,2.7e-05,0.008856,0.001115,0.001073,NA,0.015288,0.005638,8e-06,0.000527,1.9e-05,1.5e-05,0.001491,8.5e-05,0.08883,0.001077,3.1e-05,0.006587,0.005541,0.002261,0.012915,NA,0.004326,NA,0.015838,0.000751,0.000252,0.000945,6.2e-05,NA,NA,NA,8e-06,NA,8e-06,NA,1.2e-05,NA,NA,NA,NA,NA,1.5e-05,NA,4.3e-05,8e-06,1.5e-05,NA,1.5e-05,NA,NA,NA,NA,4.6e-05,1.2e-05,NA,1.5e-05,8e-06,NA,NA,NA,8e-06,1.2e-05,0.000197,1.2e-05,NA,2.3e-05,NA,1.2e-05,NA,1.5e-05,NA,8e-06,NA,NA,NA,1.5e-05,NA,NA,1.2e-05,NA,NA,8e-06,7.4e-05,NA,NA,NA,NA,NA,NA,2.7e-05,NA,NA,NA,NA,NA,0.003156,NA,NA,1.5e-05,8e-06,1.9e-05,8e-06,8e-06,2.3e-05,8e-06,1.5e-05,8e-06,8e-06,5e-05,2.7e-05,0.000124,8e-06,8e-06,0.000592,1.2e-05,8e-06,8e-06,4.3e-05,0.00012,1.9e-05,0.000209,1.5e-05,3.5e-05,2.7e-05,8e-06,8e-06,8e-06,0.000778,5.8e-05,1.5e-05,0.000244,8e-06,3.1e-05,8e-06,8e-06,1.9e-05,8e-06,1.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6.2015
NA,NA,0.006824,0.000788,0.000882,0.004771,NA,0.025157,0.001684,0.001641,0.000347,0.001424,2.2e-05,4.3e-05,1.4e-05,NA,0.00681,0.003275,0.000145,5.8e-05,0.001121,0.001135,NA,1.4e-05,0.0024,0.017726,0.127008,0.003043,0.004215,0.025302,0.007627,NA,NA,0.005451,0.004178,1.4e-05,0.000195,NA,NA,NA,0.011118,0.00073,0.000925,0.000123,NA,NA,0.003643,NA,0.005328,8.7e-05,1.4e-05,0.001301,0.03149,0.024362,NA,0.000137,NA,0.000108,NA,0.042991,0.002212,0.001236,8e-05,0.000145,NA,0.002393,NA,0.045977,0.017357,0.000441,0.005928,0.002747,0.001005,0.008198,NA,0.030948,NA,0.042348,8.7e-05,7.2e-05,0.001786,0.000506,NA,NA,NA,1.4e-05,NA,NA,NA,NA,NA,4.3e-05,NA,NA,NA,NA,NA,NA,7.2e-05,1.4e-05,8.7e-05,NA,0.000159,NA,NA,NA,0.000116,NA,NA,0.002002,2.9e-05,0.000217,1.4e-05,NA,NA,5.1e-05,NA,NA,0.000123,NA,NA,NA,1.4e-05,0.002407,NA,4.3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4e-05,NA,NA,0.140505,NA,3.6e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4e-05,NA,NA,NA,NA,NA,NA,NA,1.4e-05,NA,NA,NA,1.4e-05,1.4e-05,NA,NA,1.4e-05,NA,NA,0.000535,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4e-05,1.4e-05,1.4e-05,2.2e-05,1.4e-05,4.3e-05,1.4e-05,2.2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.10.2013
NA,5.1e-05,0.007105,0.000953,9.3e-05,0.014893,NA,0.044029,0.003004,0.000667,0.000456,0.002801,5.9e-05,0.000312,NA,NA,0.009898,5.9e-05,3.4e-05,3.4e-05,0.001207,0.001232,NA,0.000101,0.001662,0.013467,0.160082,0.008573,0.001316,0.003898,0.00994,NA,NA,0.006911,0.00281,NA,0.000245,NA,NA,NA,0.016158,0.000785,NA,0.000203,NA,2.5e-05,0.002498,NA,0.003105,0.001131,3.4e-05,0.001865,0.007923,0.065764,NA,NA,NA,9.3e-05,NA,0.02258,0.002143,0.001038,0.000169,1.7e-05,NA,0.001434,NA,0.027879,0.070498,0.00027,0.001856,0.002354,5.1e-05,0.046965,NA,0.030359,NA,0.006885,8.4e-05,NA,0.000937,3.4e-05,NA,NA,NA,2.5e-05,NA,NA,NA,1.7e-05,NA,NA,NA,3.4e-05,NA,NA,1.7e-05,NA,0.000101,NA,NA,3.4e-05,0.000101,1.7e-05,9.3e-05,0.00011,2.5e-05,NA,NA,0.001291,0.000127,0.000397,NA,NA,5.9e-05,4.2e-05,NA,NA,0.00016,NA,NA,0.000228,NA,0.000405,NA,2.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144928,NA,6.8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7e-05,NA,NA,NA,NA,NA,NA,NA,1.7e-05,1.7e-05,NA,NA,3.4e-05,NA,NA,1.7e-05,NA,NA,0.000169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7e-05,NA,NA,NA,NA,NA,1.7e-05,6.8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2.2013
NA,3e-05,0.013507,0.000913,2e-05,0.013051,NA,0.049097,0.000487,9.1e-05,0.001116,0.001532,NA,0.000264,NA,NA,0.008443,2e-05,2e-05,7.1e-05,0.000822,0.003877,NA,0.000122,0.000122,0.005581,0.192805,0.008595,0.001806,0.014431,0.020692,NA,NA,0.00273,0.001857,2e-05,0.000142,NA,NA,NA,0.015821,0.000558,0.000355,7.1e-05,NA,4.1e-05,0.003136,NA,0.004628,0.000132,NA,0.000741,0.024132,0.104232,NA,NA,NA,2e-05,NA,0.021331,0.001979,0.000457,6.1e-05,NA,NA,0.001451,5.1e-05,0.020672,0.015486,6.1e-05,0.001715,0.001116,0.000873,0.036665,NA,0.050832,NA,0.002872,0.000254,NA,0.000589,NA,NA,NA,NA,2e-05,9.1e-05,2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e-05,0.000152,NA,NA,NA,0.000112,2e-05,NA,NA,6.1e-05,NA,NA,0.001685,4.1e-05,0.000436,NA,NA,NA,0.000101,NA,NA,NA,NA,NA,4.1e-05,NA,0.002943,NA,2e-05,NA,NA,NA,NA,0.000193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e-05,4.1e-05,NA,NA,NA,NA,0.000132,NA,NA,0.000315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.23.2013
NA,NA,0.013963,0.002289,0.000123,0.008884,NA,0.076178,0.013285,0.000173,0.000185,0.002774,1.6e-05,0.000136,8e-06,NA,0.010425,0.000242,0.000185,8e-06,0.000551,0.005695,NA,2.5e-05,0.004799,0.011431,0.131116,0.00127,0.000723,0.004647,0.024482,NA,NA,0.00438,0.002264,2.1e-05,0.000193,NA,NA,NA,5.3e-05,0.00014,2.5e-05,0.00023,NA,0.000999,0.003608,1.2e-05,0.000736,0.096843,2.1e-05,0.00277,0.041189,0.083957,NA,3.7e-05,NA,5.3e-05,NA,0.031213,0.000251,0.00263,0.000103,5.8e-05,0.000263,0.00083,NA,0.070277,0.008083,0.000242,0.008859,0.002753,2.9e-05,0.011131,NA,0.042492,NA,0.016453,0.000201,NA,0.000678,7e-05,NA,8e-06,NA,7.4e-05,NA,4.9e-05,NA,NA,NA,0.000156,2.5e-05,NA,NA,NA,NA,2.5e-05,7.8e-05,1.6e-05,2.5e-05,8e-06,4.9e-05,1.2e-05,2.5e-05,3.7e-05,0.000859,NA,NA,0.002334,NA,0.000394,8e-06,NA,8e-06,0.000205,3.7e-05,NA,0.000152,NA,NA,8.6e-05,NA,0.000596,8e-06,8e-06,1.2e-05,2.9e-05,NA,NA,4.9e-05,NA,NA,4.1e-05,1.6e-05,3.3e-05,NA,NA,NA,NA,NA,NA,1.6e-05,NA,NA,NA,8e-06,NA,NA,4.9e-05,NA,3.3e-05,NA,NA,NA,NA,NA,NA,NA,0.000251,NA,NA,NA,NA,8e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9e-05,NA,8e-06,NA,NA,NA,NA,NA,0.002523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2e-05,8e-06,8e-06,8e-06,8e-06,8e-06,2.5e-05,8e-06,8e-06,8e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.27.2013
