ID	Column Name	KS Statistic	KS p-value	T-test p-value	Group 1 Mean - Group 2 Mean	KS Sign	Fraction Null in Group 1	Fraction Null in Group 2
131	Chryseobacterium	0.06126677190213603	0.9874106261529367	0.10798515520303054	-3.822711128650358E-6	-	0.0	0.0
137	Cellvibrio	0.06126677190213603	0.9874106261529367	0.5828949878670703	-2.202249408050509E-6	-	0.0	0.0
128	Lonsdalea	0.058307024467240454	0.9926227153740532	0.31919363004868406	8.760556432517766E-6	+	0.0	0.0
46	Klebsiella	0.05820836621941772	0.9945237142469574	0.7007868906196997	-1.6067383583267397E-5	-	0.0	0.0
58	Eubacterium	0.05712312549329335	0.9945237142469574	0.9165614931301708	3.817916337805795E-4	+	0.0	0.0
132	Planifilum	0.05386740331492457	0.9980706413847183	2.5307930614111626E-10	-4.593812154696133E-4	-	0.0	0.0
143	Rhodobacter	0.05307813733227473	0.9980706413847183	0.29259468361712837	2.9919988161010283E-5	+	0.0	0.0
48	Halorhodospira	0.05110497237569811	0.9991736569658024	0.5351051694767024	-3.0232833464877875E-6	-	0.0	0.0
145	Ewingella	0.04893449092343505	0.9994887769610756	0.2848933820425116	7.543590173638525E-4	+	0.0	0.0
141	Francisella	0.048638516179958846	0.9994887769610756	0.5293032752108158	-2.5459747434885494E-6	-	0.0	0.0
127	Anaeroplasma	0.04755327545382182	0.9996971473702906	0.5161975592541934	5.993212312549302E-5	+	0.0	0.0
139	Hafnia	0.046468034727695784	0.9998290948601503	0.5912077439755623	2.3998796369376389E-4	+	0.0	0.0
129	Flexibacter	0.045086819258082556	0.9999086804678158	0.39767018843493707	3.6374309392265074E-6	+	0.0	0.0
107	Enorma	0.037490134175212964	0.9999986881499902	0.7928485688029456	3.835142067876851E-6	+	0.0	0.0
117	Alicyclobacillus	0.034629044988168434	0.9999999731761899	0.08239005887018103	-2.0500394632991328E-5	-	0.0	0.0
124	Aeromonas	0.034629044988168434	0.9999999731761899	0.08239005887017953	-2.694139700078923E-5	-	0.0	0.0
142	Methylobacter	0.034629044988168434	0.9999999731761899	0.08239005887017953	-1.8076361483820024E-5	-	0.0	0.0
146	Thermus	0.034629044988168434	0.9999999731761899	0.08239005887018075	-4.190114443567492E-6	-	0.0	0.0
138	Rahnella	0.03403709550118772	0.9999999731761899	0.9111141115781195	1.6321033938437396E-6	+	0.0	0.0
133	Turicibacter	0.029400157853202713	0.9999999999030296	0.5498515291277573	2.3051894238358316E-5	+	0.0	0.0
134	Natranaerovirga	0.029400157853202713	0.9999999999030296	0.5788982474231701	4.750986582478282E-6	+	0.0	0.0
135	Howardella	0.023086029992099966	1.0	0.5194704374538419	1.4728887134964466E-5	+	0.0	0.0
147	Nitrosomonas	0.0153906866614123	1.0	0.5608059147279811	-2.5856353591160294E-6	-	0.0	0.0
144	Dechloromarinus	0.010457774269922782	1.0	0.8211073446265862	1.8187647987371633E-6	+	0.0	0.0
