genus,X4.3.2012.abundance,X8.7.2012.abundance,X11.6.2012.abundance,X1.26.2013.abundance,X2.25.2013.abundance,X3.24.2013.abundance,X4.7.2013.abundance,X4.29.2013.abundance,X6.9.2013.abundance,X7.14.2013.abundance,X8.10.2013.abundance,X9.3.2013.abundance,X9.24.2013.abundance,X10.27.2013.abundance,X11.10.2013.abundance,X12.14.2013.abundance,X1.19.2014.abundance,X2.17.2014.abundance,X3.23.2014.abundance,X5.4.2014.abundance,X6.16.2014.abundance,X8.11.2014.abundance,X8.22.2014.abundance,X8.25.2014.abundance,X9.28.2014.abundance,X11.16.2014.abundance,X11.22.2014.abundance,X12.7.2014.abundance,X12.17.2014.abundance,X1.6.2015.abundance,X1.14.2015.abundance,X1.25.2015.abundance,X2.8.2015.abundance,X2.23.2015.abundance
Barnesiella,0.002515,0.003177,0.003038,0.003146,0.001933,0.002554,0.00323,0.002669,0.001225,0.001978,0.00627,0.00087,6e-04,0.008859,0.000992,0.002092,0.003149,0.007211,0.003214,0.004363,0.001111,0.002609,0.003184,0.005814,0.001356,0.003241,0.004078,0.001534,0.001397,0.006587,0.014134,0.009913,0.003606,0.000827
Desulfovibrio,0.008863,0.004813,0.005939,0.016266,0.009246,0.013378,0.007024,0.005676,0.006224,0.003517,0.001326,0.003225,0.002691,0.002753,0.002312,0.00574,0.010021,0.006162,0.004974,0.006398,0.003493,0.010183,0.008569,0.003532,0.002224,0.007374,0.001156,0.003621,0.004096,0.005541,0.01013,0.006218,0.003792,0.001328
Prevotella,0,0,1.3e-05,6.8e-05,0.000339,0.000222,0.000493,0,0.000247,0.000185,0.000285,3.2e-05,2.7e-05,2.9e-05,5.5e-05,4.5e-05,1.1e-05,9.1e-05,0,0.000191,0.00011,0.000337,0.000116,0,0.001966,0.001713,4e-05,0.000519,0.000851,0.002261,0.000632,0.000234,0.000742,0.000522
Roseburia,0.018625,0.023304,0.02953,0.045435,0.02793,0.024314,0.041481,0.058789,0.019104,0.055344,0.017944,0.045574,0.029945,0.011131,0.044879,0.030037,0.015445,0.012306,0.017562,0.007267,0.047829,0.03257,0.01747,0.015377,0.012724,0.042977,0.092647,0.038667,0.026239,0.012915,0.019357,0.012774,0.050279,0.048706
Lachnospira,0.001377,0.005363,0.00837,0.005008,0.009088,0.032919,0.034493,0.017676,0.023253,0.03689,0.010397,0.031751,0.05909,0.042492,0.02828,0.009359,0.001028,0.002361,0.010101,0.007356,0.033828,0.000337,0.002113,0.001488,0.00091,0.003984,0.008899,0.031679,0.004912,0.004326,0.003466,0.004839,0.001566,0.006834
Thalassospira,0,0,0.005408,1.4e-05,0.000509,0.004052,0.009504,0.000311,0.031877,0.007561,0.001887,0.031996,0.006544,0.016453,0.01746,0.018196,0.013777,0.011705,0.015305,0.000958,0.002772,0.003114,0.024085,0.000357,0.003468,0.005888,0,0.006193,0.009569,0.015838,0.000714,0.00039,0.000392,0.000392
Pectobacterium,0,0.011382,0.000137,0.000313,0.004951,0.000333,0.005877,4.3e-05,0.000294,0.000141,0.000207,9e-06,0.000186,0.000201,0.000146,0.000963,0.008439,0.004471,0,0.000481,0.00029,0.005134,0.005819,0.003611,0.031193,0.028449,0,4.6e-05,4.4e-05,0.000751,0.006862,0,4.1e-05,4.4e-05
Acetitomaculum,0.000659,0.001571,0.001053,0.001875,0.000531,0.003941,0.001473,0.001045,0.002975,0.00087,8e-06,0.000315,1.6e-05,0,4.5e-05,0.000168,7.5e-05,0.000124,0.000459,0.000283,0.000696,0.000505,0.000376,0.000159,0.000188,0.000262,0.000173,0.001776,0.000929,0.000252,0.000269,0.000234,6.2e-05,0.000827
Odoribacter,0,0.001076,0.003537,0.00108,0.001729,0.002609,0.002807,0.003698,0.001429,0.001424,0.000748,0.00093,0.000807,0.000678,0.000846,0.002965,0.001753,0.001924,0.001798,0.001011,0.000896,0.002357,0.003865,0.002857,0.00118,0.001274,0.000398,0.000923,0.000782,0.000945,0.00096,0.00065,0.000144,6.5e-05
Mannheimia,0,0,0,0,0.000373,0,0.01115,0,0.000305,1.8e-05,1.6e-05,3.7e-05,0,7e-05,0,3.6e-05,0.00016,3.3e-05,0,0.000375,0,0.003703,0,0,1.2e-05,0,0,0,0,6.2e-05,0,0,0,0
Gordonibacter,0.00012,0,1.3e-05,8.8e-05,0,0,0,0,0,5.3e-05,6.5e-05,0,0,7.4e-05,3e-05,0,5.3e-05,8.7e-05,0,9.9e-05,1e-05,0,0,0,0,0,0,0,2e-05,8e-06,0,0,4.1e-05,0
