family,4.3.2012 abundance,8.7.2012 abundance,11.6.2012 abundance,1.26.2013 abundance,2.25.2013 abundance,3.24.2013 abundance,4.7.2013 abundance,4.29.2013 abundance,6.9.2013 abundance,7.14.2013 abundance,8.10.2013 abundance,9.3.2013 abundance,9.24.2013 abundance,10.27.2013 abundance,11.10.2013 abundance,12.14.2013 abundance,1.19.2014 abundance,2.17.2014 abundance,3.23.2014 abundance,5.4.2014 abundance,6.16.2014 abundance,8.11.2014 abundance,8.22.2014 abundance,8.25.2014 abundance,9.28.2014 abundance,11.16.2014 abundance,11.22.2014 abundance,12.7.2014 abundance,12.17.2014 abundance,1.6.2015 abundance,1.14.2015 abundance,1.25.2015 abundance,2.8.2015 abundance,2.23.2015 abundance
Dermatophilaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9e-05,NA,9e-06,1.1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardiaceae,NA,2e-05,NA,NA,NA,NA,NA,3.5e-05,NA,NA,NA,NA,NA,NA,1.5e-05,9e-06,1.1e-05,NA,NA,2.3e-05,2e-05,NA,NA,NA,NA,NA,NA,NA,NA,7e-05,NA,NA,NA,NA
Pasteurellaceae,NA,0.00013,4.1e-05,1.4e-05,0.000396,0.000111,0.011518,0.000138,0.000407,1.8e-05,0.000114,8.3e-05,9.6e-05,7.8e-05,1e-05,8.1e-05,0.00025,3.3e-05,NA,0.000553,NA,0.003703,NA,7.9e-05,1.2e-05,2.8e-05,0.000106,2.3e-05,2e-05,7.7e-05,NA,NA,NA,NA
Geobacteraceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8e-05,NA,8e-06,NA,NA,3.2e-05,NA,NA,NA,NA,NA,NA,NA,1.2e-05,1.4e-05,NA,NA,1.5e-05,NA,NA,NA,NA,NA
Oxalobacteraceae,NA,1e-05,5.4e-05,8.8e-05,0.000102,NA,1.4e-05,0.000458,NA,NA,0.000622,0.000384,0.000435,0.000596,9.6e-05,0.000126,0.004401,3.6e-05,0.000459,0.000207,0.00012,NA,NA,0.000119,6.5e-05,6.4e-05,NA,0.000104,0.000211,2.3e-05,NA,NA,NA,4.4e-05
Solirubrobacteraceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,NA,NA,NA,NA,NA
Frankiaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bifidobacteriaceae,0.00018,0.00014,0.001021,0.000319,0.00026,NA,2.1e-05,0.001235,3.5e-05,7e-05,0.000724,0.000564,0.000764,0.000411,0.000267,0.001131,0.000485,5.1e-05,NA,0.000105,0.000105,NA,0.000521,NA,NA,6.4e-05,0.002364,NA,6.4e-05,1.5e-05,NA,7.8e-05,0.000495,NA
Alcanivoracaceae,NA,3e-05,NA,NA,4.5e-05,0.000111,NA,NA,NA,NA,8e-06,NA,4.8e-05,NA,NA,NA,NA,NA,7.7e-05,1.6e-05,NA,NA,NA,NA,NA,1.4e-05,NA,2.3e-05,NA,8e-06,NA,5.2e-05,NA,0.000239
Thiotrichaceae,NA,NA,1.3e-05,NA,0.00061,NA,NA,NA,NA,1.8e-05,NA,NA,NA,3.7e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8e-05,NA,NA,NA,NA,NA,0.000104,NA,NA
Xanthomonadaceae,NA,2e-05,4.1e-05,1.4e-05,NA,0.000111,NA,NA,1.2e-05,NA,2.8e-05,1.4e-05,NA,8e-06,3e-05,1.2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5e-05,NA,NA,3.4e-05,8e-06,NA,5.2e-05,NA,NA
Rhodothermaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2e-05,NA,NA
Aeromonadaceae,NA,NA,NA,1.4e-05,NA,NA,NA,NA,NA,NA,2.4e-05,NA,NA,NA,NA,9e-06,NA,NA,0.000115,NA,NA,NA,NA,NA,NA,NA,2.7e-05,NA,NA,0.000778,NA,NA,NA,4.4e-05
Gracilibacteraceae,NA,1e-05,NA,4.1e-05,NA,NA,NA,2.6e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Catabacteriaceae,NA,NA,NA,2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thermoanaerobacteraceae,NA,3.5e-05,NA,1.4e-05,NA,0.000111,NA,1.7e-05,NA,7e-05,3.7e-05,NA,1.1e-05,NA,NA,1.5e-05,NA,7e-06,7.7e-05,7e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desulfobulbaceae,NA,3.5e-05,NA,1.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7e-06,NA,NA,NA,NA,4.1e-05,6.4e-05,NA,NA,NA,NA,NA,NA,NA,NA
Gallionellaceae,NA,NA,1.3e-05,4.1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erythrobacteraceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5e-05,NA,NA,NA,NA
Halomonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-06,NA,NA,NA,NA
Sphingobacteriaceae,NA,NA,NA,NA,2.3e-05,NA,NA,NA,8e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9e-05,NA,NA,NA,NA,NA,NA,3.1e-05,NA,NA,NA,NA
Spirochaetaceae,NA,NA,NA,NA,2.3e-05,NA,NA,NA,NA,NA,NA,NA,1.1e-05,8e-06,NA,1.5e-05,NA,NA,NA,7e-06,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,2.7e-05,NA,NA,NA,NA
Puniceicoccaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3e-05,NA,NA,NA,NA
Pseudonocardiaceae,NA,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-06,NA,NA,NA,NA
Marinilabiliaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3e-05,NA,2.9e-05,NA,NA,NA,NA,1.5e-05,NA,NA,NA,NA
Leptospiraceae,NA,3e-05,NA,NA,9e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3e-05,NA,NA,NA,NA,NA,NA,2.3e-05,NA,NA,NA,NA
Piscirickettsiaceae,NA,1e-05,2.5e-05,NA,2.3e-05,NA,NA,NA,NA,NA,NA,NA,NA,8e-06,1.5e-05,NA,NA,NA,7.7e-05,NA,NA,NA,NA,NA,NA,1.4e-05,NA,NA,NA,8e-06,NA,NA,NA,4.4e-05
Gemmatimonadaceae,NA,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-06,NA,NA,NA,NA
Acidobacteriaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-06,NA,NA,1.2e-05,NA,9e-06,NA,NA,NA,7e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-06,NA,NA,NA,NA
Leptotrichiaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-06,NA,NA,NA,NA
Legionellaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1e-05,NA,NA,NA,NA
Alicyclobacillaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000604,NA,NA,NA,NA
Thermoactinomycetaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-06,9e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008528,NA,NA,NA,8e-06,NA,NA,NA,NA
Alteromonadaceae,NA,NA,3.2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-05,NA,NA,NA,NA,NA,8e-06,NA,NA,NA,4.4e-05
Helicobacteraceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6e-05,NA,NA,NA,NA
Sphingomonadaceae,NA,NA,NA,NA,NA,0.000111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9e-05,NA,NA,NA,NA
Coxiellaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7e-05,4.6e-05,NA,2.7e-05,NA,NA,NA,NA
Bradyrhizobiaceae,NA,NA,NA,NA,2.3e-05,NA,NA,NA,NA,NA,3.7e-05,NA,NA,NA,NA,NA,NA,1.5e-05,NA,NA,NA,NA,2.9e-05,NA,NA,NA,NA,NA,1e-05,8e-06,NA,NA,NA,NA
Nitrosomonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-06,NA,NA,NA,NA,NA,NA,NA,0.000168,NA,NA,NA,NA,NA,NA,NA,1.5e-05,NA,NA,NA,NA
Microbacteriaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7e-05,NA,NA,8e-06,NA,NA,NA,NA
Crenotrichaceae,NA,NA,NA,NA,NA,NA,1.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,NA,NA,NA,NA,2.3e-05,NA,2.7e-05,2.3e-05,1.5e-05,8e-06,NA,NA,NA,NA
Desulfohalobiaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4e-05,NA,NA,NA,8e-06,NA,NA,NA,NA
Brucellaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,NA,NA,NA,NA,NA,3.5e-05,NA,NA,NA,8e-06,NA,NA,NA,4.4e-05
Hyphomonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5e-05,1.2e-05,NA,NA,NA,NA
Rickettsiaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-06,NA,NA,NA,NA
Natranaerobiaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-06,NA,NA,NA,NA
Sinobacteraceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7e-05,NA,NA,3.1e-05,NA,NA,NA,NA
Streptosporangiaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-06,NA,NA,NA,NA
Chromobacteriaceae,NA,1e-05,NA,NA,NA,NA,NA,NA,5.5e-05,NA,NA,2.8e-05,NA,8e-06,1e-05,1.5e-05,NA,NA,NA,4e-05,NA,NA,NA,NA,0.000135,NA,NA,NA,4.4e-05,3.5e-05,NA,NA,NA,NA
Burkholderiaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5e-05,NA,NA,3e-05,1.5e-05,NA,NA,NA,4.4e-05
Heliobacteriaceae,NA,NA,1.3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9e-05,NA,NA,NA,NA
Thioalkalispiraceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-06,NA,NA,NA,NA
Streptomycetaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8e-05,NA,NA,NA,8e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desulfobacteraceae,NA,6e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-06,NA,1.2e-05,NA,7e-06,NA,NA,NA,NA,2.9e-05,NA,0.006344,NA,NA,5.8e-05,1e-05,NA,NA,NA,NA,NA
Clostridiales Family XII. Incertae Sedis,NA,NA,NA,NA,NA,NA,1.4e-05,NA,NA,2.6e-05,NA,2.8e-05,NA,5.3e-05,5e-05,1.2e-05,NA,NA,NA,NA,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000152
Acidithiobacillaceae,NA,NA,NA,NA,NA,NA,2.1e-05,NA,NA,NA,NA,NA,NA,8e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
Candidatus Midichloriaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1e-05,NA,NA,1e-05,NA,NA,NA,NA,NA
Gordoniaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4e-05,5e-05,NA,9.2e-05,NA,NA,NA,NA,4.1e-05,NA
Desulfuromonadaceae,NA,2.5e-05,NA,NA,NA,NA,1.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1e-05,NA,NA,NA,NA,NA,NA,NA,1.4e-05,NA,NA,1e-05,NA,NA,NA,NA,NA
Hyphomicrobiaceae,0.00018,NA,NA,NA,2.3e-05,NA,NA,1.7e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,7e-06,NA,7e-06,NA,NA,NA,NA,2.3e-05,1.4e-05,NA,NA,NA,NA,NA,NA,4.1e-05,NA
Idiomarinaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4e-05,NA,NA,1e-05,NA,NA,NA,NA,NA
Proteinivoraceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2e-05,1.4e-05,NA,NA,1e-05,NA,NA,NA,NA,NA
Kineosporiaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-05,NA,NA,NA,NA,NA,NA,NA
Anaeroplasmataceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002577,NA,NA,NA,NA,NA,NA,NA
Desulfurobacteriaceae,NA,NA,6e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Succinivibrionaceae,NA,NA,6e-06,NA,NA,NA,NA,NA,NA,NA,NA,9e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pasteuriaceae,NA,NA,6e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rubrobacteraceae,NA,1e-05,6e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3e-05,NA,NA,NA,NA,NA,NA,NA,NA,4.4e-05
Solibacteraceae,NA,NA,1.6e-05,NA,NA,NA,NA,5.2e-05,5.5e-05,NA,1.6e-05,NA,NA,NA,NA,NA,NA,1.1e-05,NA,NA,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Francisellaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e-06,NA,NA,0.000153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scytonemataceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5e-05,NA,NA,NA,NA,NA
Planococcaceae,NA,1e-05,NA,NA,NA,0.000111,NA,NA,NA,NA,8e-06,NA,NA,NA,NA,6e-06,NA,1.1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geodermatophilaceae,NA,1.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nitrospinaceae,NA,NA,NA,NA,NA,NA,NA,1.7e-05,NA,NA,NA,NA,NA,NA,NA,2.7e-05,NA,1.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nitrospiraceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6e-05,NA,NA,6e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5e-05,NA,NA,NA,NA,NA
Bdellovibrionaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e-05,NA,NA,NA,NA,NA
Holophagaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e-06,NA,NA,NA,NA,NA,NA,2.9e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoalteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methylocystaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenaceae,NA,2e-05,NA,NA,NA,NA,NA,1.7e-05,8e-06,1.8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e-05,NA,NA,NA,NA,NA
Trueperaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5e-05,NA,NA,NA,NA,NA
Beijerinckiaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,NA,NA,NA,NA,NA
Syntrophobacteraceae,NA,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,8e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-05,NA,NA,NA,NA,3.4e-05,NA,NA,NA,NA,NA
Prochlorococcaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1e-05,NA,NA,NA,NA,NA,NA
Opitutaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3e-05,NA,NA,NA,NA,NA,NA
Sporolactobacillaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3e-05,NA,NA,NA,NA,NA,NA
Ferrimonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,8e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3e-05,NA,NA,NA,NA,NA,NA
Planctomycetaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syntrophorhabdaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methylobacteriaceae,NA,NA,NA,NA,NA,NA,NA,2.6e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ignavibacteriaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4e-05
Vibrionaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7e-05
Fibrobacteraceae,NA,NA,NA,NA,6.8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacteriaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1e-05,NA
Thermaceae,NA,NA,NA,NA,NA,NA,NA,0.000121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nannocystaceae,NA,NA,NA,NA,NA,NA,1.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thermoanaerobacterales Family IV. Incertae Sedis,NA,NA,NA,NA,NA,NA,1.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syntrophaceae,NA,NA,NA,NA,NA,NA,2.1e-05,NA,NA,NA,8e-06,NA,NA,NA,NA,NA,NA,NA,NA,7e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Listeriaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacillales Family X. Incertae Sedis,NA,NA,NA,NA,NA,NA,NA,NA,8e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phyllobacteriaceae,NA,2e-05,NA,NA,NA,NA,NA,NA,NA,2.6e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thermolithobacteraceae,NA,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patulibacteraceae,NA,1.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desulfurellaceae,NA,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Promicromonosporaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parvularculaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
Catenulisporaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioidaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
