family,4.3.2012 abundance,8.7.2012 abundance,11.6.2012 abundance,1.26.2013 abundance,2.25.2013 abundance,3.24.2013 abundance,4.7.2013 abundance,4.29.2013 abundance,6.9.2013 abundance,7.14.2013 abundance,8.10.2013 abundance,9.3.2013 abundance,9.24.2013 abundance,10.27.2013 abundance,11.10.2013 abundance,12.14.2013 abundance,1.19.2014 abundance,2.17.2014 abundance,3.23.2014 abundance,5.4.2014 abundance,6.16.2014 abundance,8.11.2014 abundance,8.22.2014 abundance,8.25.2014 abundance,9.28.2014 abundance,11.16.2014 abundance,11.22.2014 abundance,12.7.2014 abundance,12.17.2014 abundance,1.6.2015 abundance,1.14.2015 abundance,1.25.2015 abundance,2.8.2015 abundance,2.23.2015 abundance
Ectothiorhodospiraceae,NA,NA,0.000185,6.8e-05,3.4e-05,NA,1.4e-05,4.3e-05,NA,NA,2.4e-05,NA,NA,3.7e-05,NA,3e-05,0.000229,0.000106,0.000115,2.3e-05,3.5e-05,NA,NA,7.9e-05,NA,NA,NA,4.6e-05,1.5e-05,3.1e-05,0.000281,NA,NA,NA
Campylobacteraceae,NA,NA,NA,NA,2.3e-05,NA,2.8e-05,1.7e-05,NA,NA,NA,9e-06,1.1e-05,8e-06,NA,6e-06,7.5e-05,7e-06,NA,1.3e-05,NA,NA,NA,NA,2.9e-05,1.4e-05,NA,NA,0.000177,NA,2.3e-05,NA,NA,NA
Lactobacillaceae,0.00024,0.000795,0.012998,0.001291,0.00286,0.000222,0.003585,0.012708,0.002795,0.015368,0.003241,0.01269,0.001141,0.001064,0.002841,0.004783,0.013367,0.000171,0.003864,0.000553,0.00031,NA,NA,NA,0.000839,2.8e-05,0.002723,0.000138,0.00146,0.000132,0.000855,0.004163,0.002473,0.001458
Defluviitaleaceae,NA,0.00047,0.000216,1.4e-05,2.3e-05,0.000222,4.2e-05,4.3e-05,1.6e-05,4.4e-05,0.000207,0.000102,0.000122,1.6e-05,3e-05,0.000111,9.6e-05,4e-05,NA,5.9e-05,1e-04,NA,8.7e-05,0.000377,1e-04,4.2e-05,0.000146,0.000277,5.4e-05,8.1e-05,0.000129,0.000286,0.000103,0.000261
Hydrogenophilaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8e-05,NA,NA,9.2e-05,NA,NA,3.5e-05,NA,NA,6.5e-05
Rhodospirillaceae,NA,2e-05,0.005433,1.4e-05,0.000554,0.004052,0.009587,0.000311,0.032144,0.007561,0.001899,0.032093,0.006576,0.01656,0.017551,0.018262,0.013825,0.011763,0.015305,0.000965,0.002772,0.003114,0.024548,0.000357,0.003533,0.006022,NA,0.006273,0.009756,0.016102,0.00082,0.00039,0.000474,0.000392
Corynebacteriaceae,NA,NA,6e-06,NA,NA,NA,NA,NA,8e-06,0.000229,0.000142,6.9e-05,NA,5.8e-05,3e-05,NA,1.1e-05,1.5e-05,NA,4.9e-05,2.5e-05,NA,NA,NA,NA,NA,0.00251,2.3e-05,NA,2.7e-05,2.3e-05,0.002732,NA,NA
Enterococcaceae,NA,1e-05,0.00015,1.4e-05,NA,NA,1.4e-05,NA,8e-06,1.8e-05,NA,NA,3.7e-05,1.6e-05,1.5e-05,NA,NA,NA,NA,NA,0.000245,0.000252,2.9e-05,0.000139,NA,NA,NA,4.6e-05,1e-05,NA,0.000937,NA,NA,4.4e-05
Enterobacteriaceae,0.267577,0.042755,0.007721,0.152679,0.016604,0.088875,0.052027,0.049338,0.124886,0.060109,0.114094,0.13868,0.171855,0.100302,0.10752,0.136476,0.020223,0.076994,0.131428,0.081872,0.049351,0.010436,0.088973,0.142126,0.129555,0.077901,6.6e-05,0.030987,0.028777,0.046059,0.03389,NA,0.000144,0.019304
Cytophagaceae,NA,3e-05,1.6e-05,NA,NA,0.000111,1.4e-05,NA,NA,NA,1.6e-05,NA,1.1e-05,1.6e-05,3e-05,1.2e-05,NA,NA,NA,1.3e-05,1e-05,NA,NA,NA,7e-05,5.7e-05,NA,NA,1e-05,7.4e-05,3.5e-05,5.2e-05,0.000124,NA
