genus,X1.14.2015.abundance,X1.19.2014.abundance,X1.25.2015.abundance,X1.26.2013.abundance,X1.6.2015.abundance,X10.10.2013.abundance,X10.2.2013.abundance,X10.23.2013.abundance,X10.27.2013.abundance,X11.10.2013.abundance,X11.16.2014.abundance,X11.22.2014.abundance,X11.6.2012.abundance,X12.14.2013.abundance,X12.17.2014.abundance,X12.7.2014.abundance,X2.17.2014.abundance,X2.17.2014.1.abundance,X2.23.2015.abundance,X2.25.2013.abundance,X2.8.2015.abundance,X3.23.2014.abundance,X3.24.2013.abundance,X4.29.2013.abundance,X4.3.2012.abundance,X4.7.2013.abundance,X5.4.2014.abundance,X5.4.2014.1.abundance,X6.16.2014.abundance,X6.9.2013.abundance,X7.14.2013.abundance,X8.10.2013.abundance,X8.11.2014.abundance,X8.22.2014.abundance,X8.25.2014.abundance,X8.7.2012.abundance,X9.24.2013.abundance,X9.25.2013.abundance,X9.28.2014.abundance,X9.3.2013.abundance
Butyrivibrio,0.001827,0.004758,0.00255,0.007753,0.001077,0.017357,0.070498,0.015486,0.008083,0.01278,0.022249,4e-05,0.007829,0.000312,0.00087,0.008084,0.000113,0.000401,0.004831,0.014886,0.004719,0.000957,0.007383,0.001417,0.000958,0.003501,0.01816,0.003836,0.004203,0.002529,0.007394,0.043897,0.001936,0.006615,0.006905,0.010486,0.047583,0.011637,0.002224,0.004451
Flavonifractor,0.000105,7.5e-05,0,2.7e-05,3.1e-05,0.000441,0.00027,6.1e-05,0.000242,2e-05,0,0,0,5.4e-05,0,0.000219,8.5e-05,7.7e-05,0,0,0,0,0,9.5e-05,0,4.9e-05,0.000153,0.00031,7e-05,3.9e-05,3.5e-05,6.1e-05,0,2.9e-05,0,1e-05,4.8e-05,0.000358,0,9.3e-05
Barnesiella,0.014134,0.003149,0.009913,0.003146,0.006587,0.005928,0.001856,0.001715,0.008859,0.000992,0.003241,0.004078,0.003038,0.002092,0.001397,0.001534,0.008589,0.007211,0.000827,0.001933,0.003606,0.003214,0.002554,0.002669,0.002515,0.00323,0.004901,0.004363,0.001111,0.001225,0.001978,0.00627,0.002609,0.003184,0.005814,0.003177,6e-04,0.005537,0.001356,0.00087
Desulfovibrio,0.01013,0.010021,0.006218,0.016266,0.005541,0.002747,0.002354,0.001116,0.002753,0.002312,0.007374,0.001156,0.005939,0.00574,0.004096,0.003621,0.005018,0.006162,0.001328,0.009246,0.003792,0.004974,0.013378,0.005676,0.008863,0.007024,0.006914,0.006398,0.003493,0.006224,0.003517,0.001326,0.010183,0.008569,0.003532,0.004813,0.002691,0.001913,0.002224,0.003225
Prevotella,0.000632,1.1e-05,0.000234,6.8e-05,0.002261,0.001005,5.1e-05,0.000873,2.9e-05,5.5e-05,0.001713,4e-05,1.3e-05,4.5e-05,0.000851,0.000519,0.000385,9.1e-05,0.000522,0.000339,0.000742,0,0.000222,0,0,0.000493,0.000278,0.000191,0.00011,0.000247,0.000185,0.000285,0.000337,0.000116,0,0,2.7e-05,0.000348,0.001966,3.2e-05
Roseburia,0.019357,0.015445,0.012774,0.045435,0.012915,0.008198,0.046965,0.036665,0.011131,0.044879,0.042977,0.092647,0.02953,0.030037,0.026239,0.038667,0.003768,0.012306,0.048706,0.02793,0.050279,0.017562,0.024314,0.058789,0.018625,0.041481,0.029632,0.007267,0.047829,0.019104,0.055344,0.017944,0.03257,0.01747,0.015377,0.023304,0.029945,0.028345,0.012724,0.045574
Anoxynatronum,2.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachnospira,0.003466,0.001028,0.004839,0.005008,0.004326,0.030948,0.030359,0.050832,0.042492,0.02828,0.003984,0.008899,0.00837,0.009359,0.004912,0.031679,0.001504,0.002361,0.006834,0.009088,0.001566,0.010101,0.032919,0.017676,0.001377,0.034493,0.015117,0.007356,0.033828,0.023253,0.03689,0.010397,0.000337,0.002113,0.001488,0.005363,0.05909,0.00703,0.00091,0.031751
Oceanicola,3.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thalassospira,0.000714,0.013777,0.00039,1.4e-05,0.015838,0.042348,0.006885,0.002872,0.016453,0.01746,0.005888,0,0.005408,0.018196,0.009569,0.006193,0.017305,0.011705,0.000392,0.000509,0.000392,0.015305,0.004052,0.000311,0,0.009504,0.004537,0.000958,0.002772,0.031877,0.007561,0.001887,0.003114,0.024085,0.000357,0,0.006544,0.020509,0.003468,0.031996
Pectobacterium,0.006862,0.008439,0,0.000313,0.000751,8.7e-05,8.4e-05,0.000254,0.000201,0.000146,0.028449,0,0.000137,0.000963,4.4e-05,4.6e-05,0.001259,0.004471,4.4e-05,0.004951,4.1e-05,0,0.000333,4.3e-05,0,0.005877,0.001048,0.000481,0.00029,0.000294,0.000141,0.000207,0.005134,0.005819,0.003611,0.011382,0.000186,3.8e-05,0.031193,9e-06
Acetitomaculum,0.000269,7.5e-05,0.000234,0.001875,0.000252,7.2e-05,0,0,0,4.5e-05,0.000262,0.000173,0.001053,0.000168,0.000929,0.001776,9.4e-05,0.000124,0.000827,0.000531,6.2e-05,0.000459,0.003941,0.001045,0.000659,0.001473,0.000727,0.000283,0.000696,0.002975,0.00087,8e-06,0.000505,0.000376,0.000159,0.001571,1.6e-05,0,0.000188,0.000315
Odoribacter,0.00096,0.001753,0.00065,0.00108,0.000945,0.001786,0.000937,0.000589,0.000678,0.000846,0.001274,0.000398,0.003537,0.002965,0.000782,0.000923,0.002683,0.001924,6.5e-05,0.001729,0.000144,0.001798,0.002609,0.003698,0,0.002807,0.002725,0.001011,0.000896,0.001429,0.001424,0.000748,0.002357,0.003865,0.002857,0.001076,0.000807,0.000768,0.00118,0.00093
Mannheimia,0,0.00016,0,0,6.2e-05,0.000506,3.4e-05,0,7e-05,0,0,0,0,3.6e-05,0,0,0.001419,3.3e-05,0,0.000373,0,0,0,0,0,0.01115,1.2e-05,0.000375,0,0.000305,1.8e-05,1.6e-05,0.003703,0,0,0,0,1e-05,1.2e-05,3.7e-05
Globicatella,0,1.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caulobacter,0,1.6e-05,0,0,0,0,0,0,8e-06,0,2.8e-05,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinomonas,0,1.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gordonibacter,0,5.3e-05,0,8.8e-05,8e-06,1.4e-05,2.5e-05,2e-05,7.4e-05,3e-05,0,0,1.3e-05,0,2e-05,0,3.8e-05,8.7e-05,0,0,4.1e-05,0,0,0,0.00012,0,9.2e-05,9.9e-05,1e-05,0,5.3e-05,6.5e-05,0,0,0,0,0,5.2e-05,0,0
Leuconostoc,0,5.3e-05,0,1.4e-05,0,0,0,9.1e-05,0,0,0,0,0,0,0,0,0,5.1e-05,0,0,0,0,0,0,0,0,6e-06,0,0,0.000153,0,0,0,0,0,0,0,0,0,0
Staphylococcus,0,1.6e-05,0,0,8e-06,0,0,2e-05,4.9e-05,2e-05,0,5.3e-05,0,3.9e-05,0,0,1.9e-05,0,0,2.3e-05,0,0,0,0,0,0,3.7e-05,4.6e-05,0,0,0,8e-06,0,0,0,0,2.1e-05,0,0,7.4e-05
Thermincola,0,4.3e-05,0,0,0,0,0,0,0,0,0,0,0,6e-06,0,0,0,1.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,0,0,0,1.1e-05,0,0,1.9e-05
Paludibacter,0,3.2e-05,5.2e-05,0,1.2e-05,0,1.7e-05,0,0,0,1.4e-05,0,0,2.4e-05,3.4e-05,4.6e-05,0,0,0,0,0,0,0,0,0,1.4e-05,9e-06,7e-06,0,0,0,0,0.000673,2.9e-05,0,2e-05,0,1.9e-05,3.5e-05,0
Peptoclostridium,0,4.3e-05,0,0,0,0,0,0,0,0,0,0,0,9e-06,0,0,2.3e-05,1.8e-05,0,0,0,0,0,0,0,0,1.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Sporobacter,0,4.3e-05,0,2.7e-05,0,4.3e-05,0,0,0.000156,6e-05,0,0,0,5.4e-05,0,2.3e-05,0,0,0,0,0,0,0.000167,1.7e-05,0,0,9e-06,0,0,0,0,0,0,0,0,0,0.000106,0,0,4.2e-05
Aquisalimonas,0,0.000208,0,0,0,0,0,0,2.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aggregatibacter,0,1.6e-05,0,0,0,0,3.4e-05,0,0,0,0,0,0,6e-06,0,0,9e-06,0,0,2.3e-05,0,0,0,8.6e-05,0,0.000181,0,0,0,2.3e-05,0,0,0,0,0,0,0,0,0,0
Sporomusa,0,0.000101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5e-05,0,0,0,0
Acetobacterium,0,1.1e-05,0,0,1.5e-05,0,0,0,0,0,8.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neisseria,0,1.1e-05,0,0,0,0,1.7e-05,0,0,0,0,0,0,0,3e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.6e-05,0,0,0,0,0,0,0,0,3.2e-05,2.9e-05,0,9e-06
Moryella,0,1.1e-05,5.2e-05,0.000333,4.3e-05,0,0,2e-05,2.5e-05,0,2.1e-05,5.3e-05,2.5e-05,0.000354,1e-05,2.3e-05,0.001128,0.001694,0,0.000339,0,0,0.000111,0,0,1.4e-05,3.7e-05,0.001488,2e-05,0,0,9.8e-05,0,0,0,0.00027,3.2e-05,0,0.00017,3.7e-05
Actinomyces,0,4.3e-05,5.2e-05,6.1e-05,8e-06,7.2e-05,0.000101,0.000152,7.8e-05,2e-05,3.5e-05,0,0.000137,5.1e-05,0,0,5.6e-05,0.000171,4.4e-05,2.3e-05,8.2e-05,7.7e-05,0,9.5e-05,0,1.4e-05,1.8e-05,0.000191,2e-05,4.7e-05,1.8e-05,4.9e-05,0,7.2e-05,0.000119,2.5e-05,2.1e-05,7.2e-05,3.5e-05,0
Gardnerella,0,0.000139,0,0,1.5e-05,1.4e-05,0,0,1.6e-05,4e-05,0,0,0.000146,0.001122,0,0,1.4e-05,0,0,0,0,0,0,0,0,0,0,0,9.5e-05,0,0,0,0,0.000275,0,0,4.8e-05,1e-05,0,0.000264
Eikenella,0,1.6e-05,0,0,0,8.7e-05,0,0,2.5e-05,0,0,0,0,0,0,0,0.001349,6.6e-05,0,0,0,0,0,0,0,0,0,0.000161,0,0,0,0,0,0,0,0,0,0,0,0
Oribacterium,0,7.5e-05,5.2e-05,1.4e-05,1.5e-05,0,3.4e-05,0,8e-06,1e-05,0,0,5.7e-05,0,1.5e-05,0,9e-06,2.6e-05,4.4e-05,0,4.1e-05,0,0.000111,0,0,5.6e-05,1.2e-05,4.3e-05,0,0,0,7.7e-05,0,0,0,1e-05,2.1e-05,3.8e-05,2.3e-05,9e-06
Erysipelatoclostridium,0,2.1e-05,0,0.000136,0,0.000159,0.000101,0.000112,4.9e-05,3.5e-05,0,2.7e-05,0.00035,6e-06,0,0,9e-06,0.000135,0,2.3e-05,4.1e-05,0,0,3.5e-05,0,0,0.000192,0.000105,4e-05,8e-06,0,0.000126,0,0,0,0,0.000133,0.000148,0,4.6e-05
Pseudoflavonifractor,0,2.1e-05,0,0,0,0,1.7e-05,2e-05,1.2e-05,3e-05,0,0,1e-05,3.3e-05,0,0,6.1e-05,2.6e-05,0,0,0,0,0,0,0,0,2.7e-05,1.3e-05,2.5e-05,0,0,1.2e-05,0,0,0,0,2.7e-05,0,0,3.7e-05
Dielma,0,1.6e-05,0,0,0,0,9.3e-05,0,2.5e-05,1e-05,0,0,2.2e-05,1.8e-05,0,0,6.1e-05,2.6e-05,0,0,0,0,0,0,0,0,4.3e-05,8.2e-05,1e-05,0,0,2e-05,0,0,0,0,0,3.3e-05,0,1.4e-05
Eggerthella,0,5.3e-05,0,1.4e-05,0,0,0.00011,0,3.7e-05,1e-05,0,0,5.1e-05,0,0,0,2.8e-05,2.2e-05,0,6.8e-05,0,0,0,0,0,0,0,9.9e-05,0,0,1.8e-05,4.1e-05,0,2.9e-05,4e-05,1e-05,0,1.4e-05,0,0
Varibaculum,0,4.8e-05,0,0,4.6e-05,0.000116,2.5e-05,6.1e-05,0.000859,0,1.4e-05,0,1.6e-05,0,0,0,0.000761,7.3e-05,0,0.000362,0,0,0.000111,0,0,0.000208,6e-06,0.000635,0,5.9e-05,0,0,0,0,0,0,0,4.8e-05,0,0
Gluconacetobacter,0,1.6e-05,0,0,1.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2e-05,0,0,0,0,0,0
Pasteurella,0,1.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8e-05,6e-06,0,0,0,0,0,0,0,0,0,0,0,0,0
Oscillospira,0,5.9e-05,0,0,1.5e-05,0.002002,0.001291,0.001685,0.002334,0.000771,0,0,1e-05,6e-06,0,2.3e-05,2.8e-05,4.4e-05,0,3.4e-05,0,0,0.000555,2.6e-05,0,1.4e-05,4.6e-05,6.6e-05,2e-05,2.7e-05,0.000229,0.001691,0,0,0,0.00019,0.000658,0.002079,0,0.00056
Actinobacillus,0,1.1e-05,0,1.4e-05,8e-06,2.9e-05,0.000127,4.1e-05,0,1e-05,1.4e-05,0.000106,3.5e-05,3e-05,2e-05,0,0,0,0,0,0,0,0.000111,5.2e-05,0,1.4e-05,0,6.9e-05,0,6.3e-05,0,4.5e-05,0,0,7.9e-05,8e-05,9.6e-05,0.000114,0,4.6e-05
Bifidobacterium,0,0.000346,7.8e-05,0.000319,0,0.000217,0.000397,0.000436,0.000394,0.000227,6.4e-05,0.002364,0.000875,9e-06,6.4e-05,0,1.4e-05,5.1e-05,0,0.00026,0.000495,0,0,0.001235,0.00018,2.1e-05,0.000144,0.000105,1e-05,3.5e-05,7e-05,0.000724,0,0.000246,0,0.00014,0.000717,0.000591,0,0.000301
Rothia,0,1.1e-05,0,0,0,1.4e-05,0,0,8e-06,0,0,0,6e-06,0,0,0,9e-06,7e-06,0,0,0,0,0,0,0,0,0,7e-06,0,0,0,0,0,2.9e-05,0,4e-05,0,1.9e-05,0,0
Oxalicibacterium,0,1.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9e-06
Haemophilus,0,4.8e-05,0,0,8e-06,0,5.9e-05,0,8e-06,0,1.4e-05,0,6e-06,9e-06,0,0,0,0,0,0,0,0,0,0,0,0.000118,0,0.000102,0,1.6e-05,0,5.3e-05,0,0,0,5e-05,0,4.3e-05,0,0
Anaerofilum,0,2.7e-05,0,2e-05,1.2e-05,5.1e-05,4.2e-05,0.000101,0.000205,4.5e-05,0,0,4.5e-05,1.8e-05,0,2.3e-05,9e-06,2.9e-05,0,0,0,0,0,6e-05,0,0,5.8e-05,5.6e-05,4e-05,0,3.5e-05,8e-06,0,0,0,0.000115,7.4e-05,4.3e-05,1.2e-05,8.3e-05
Paenibacillus,0,2.7e-05,0,0,0.000197,0,0,0,3.7e-05,1e-05,0,6.6e-05,0,2.4e-05,1e-05,2.3e-05,1.9e-05,0,0.000239,0.000102,0,0,0.000111,0,0.00012,6.3e-05,0,1e-05,0,1.2e-05,0,8e-06,0,0,0,0,0,0,4.7e-05,3.2e-05
Pectinatus,0,1.6e-05,0,0,1.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8e-05,0,0,0,0,4.2e-05,1.9e-05,0,0
Fusobacterium,0,0.001039,0,0,0,0.000123,0.00016,0,0.000152,0,0.000134,0,2.9e-05,8.1e-05,1e-05,0,0.008852,0.000408,0,0.002091,0,0,0.000167,0.000121,0,0.010101,6.7e-05,0.000734,0,0.00038,3.5e-05,3.3e-05,0.002104,2.9e-05,0,0,1.1e-05,1e-05,0,9e-06
Nocardia,0,1.1e-05,0,0,2.3e-05,0,0,0,0,0,0,0,0,9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3e-05,2e-05,0,0,0,0,0,0,0,0,1e-05,0,0
Tannerella,0,1.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0
Megasphaera,0,0.000474,5.2e-05,0,1.2e-05,0,0.000228,4.1e-05,8.6e-05,6e-05,6.4e-05,0,1.6e-05,6e-05,1e-05,0,0.000324,0.000179,0,0.000147,0,0,0,0,0,8.3e-05,0.000141,0.001495,0,8e-06,1.8e-05,0,0,0,0.000159,1.5e-05,0,1.9e-05,0,1.4e-05
Ahrensia,0,1.1e-05,0,0,0,1.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4e-05,0,0,0,0,0,0,0,2.9e-05,0,0,0,0,0,0
Herbaspirillum,0,0.004385,0,5.4e-05,1.5e-05,0.002407,0.000405,0.002943,0.000596,9.6e-05,0,0,5.4e-05,0.000126,0.000192,8.1e-05,4.2e-05,3.6e-05,0,4.5e-05,0,0.000459,0,0.000423,0,1.4e-05,0.000315,0.000207,0.00012,0,0,0.000614,0,0,6e-05,0,0.000435,0.001655,1.2e-05,0.000375
Reichenbachiella,0,1.1e-05,0,0,0,0,0,0,8e-06,0,1.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papillibacter,0,0,5.2e-05,4.8e-05,8e-06,4.3e-05,2.5e-05,2e-05,8e-06,1.5e-05,0,0,1.6e-05,3.6e-05,0,5.8e-05,2.3e-05,4.7e-05,0,2.3e-05,0,0,0,0,0.00012,3.5e-05,0.000113,3.6e-05,6e-05,1.6e-05,0,3.3e-05,0,0,0,5e-05,5.8e-05,4.8e-05,1.2e-05,9e-06
Johnsonella,0,0,7.8e-05,0,0,0,0,0,1.2e-05,0,0,0,1e-05,0,1e-05,3.5e-05,0,0,0,0,0,0,0.000111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,1.2e-05,0
Thiothrix,0,0,0.000104,0,0,0,0,0,2.9e-05,0,0,0,0,0,0,0,0,0,0,0.00061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegalimassilia,0,0,5.2e-05,0,0,0,0,0,0,0,2.8e-05,0,0,0,1e-05,0,0,0,0,2.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3e-05,0
Parvibacter,0,0,5.2e-05,0,1.5e-05,0,0,0,0,0,5e-05,0,0,0,0,0,0,0,6.5e-05,0,0,0,0,1.7e-05,0,0,0,0,0,0,0,0,0,2.9e-05,6e-05,1e-05,0,1e-05,0,0
Lactococcus,0,0,5.2e-05,6.8e-05,0,0,0,0.000193,4.9e-05,2e-05,0,2.7e-05,6e-06,0,0,0,0,1.5e-05,0,0,0,7.7e-05,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,2.5e-05,0,0.000277,0,0
Xanthomonas,0,0,5.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4e-05
Desulfotomaculum,0,0,7.8e-05,0,1.2e-05,0,0,0,0,0,1.4e-05,0,0,0,0,0,0,0,4.4e-05,0,0,0,0,0,0,0,0,0,1e-05,0,0,8e-06,0,2.9e-05,0,0,0,1e-05,0,0
Slackia,0,0,5.2e-05,0,0,0,0,0,4.1e-05,0,0,4e-05,4.1e-05,0,0,0,0,0,0,4.5e-05,4.1e-05,0,0,0,0,0,0,1.3e-05,0,0,0,8e-06,0,0,0,0,1.6e-05,0,0,0
Enorma,0,0,0.00026,0,0,0,0,0,1.6e-05,0,0.000134,0.000306,0,0,4.4e-05,0.000115,0,0,0,9e-05,0.000247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5e-05,0,0,0.000264,0
Porphyromonas,0,0,0.000104,0,8e-06,0.00021,0,0,3.3e-05,0,5e-05,0,0,2.1e-05,5.4e-05,0,5.6e-05,7e-06,0,0,0,0,0,0,0,1.4e-05,1.8e-05,0.000135,0,8e-06,0,8e-06,0,2.9e-05,0,1e-05,0,1e-05,1.8e-05,9e-06
Dysgonomonas,0,0,7.8e-05,0,7.4e-05,0,0,0,0,0,0.000163,0,0,0,6.4e-05,0.000127,0,0,0,4.5e-05,0,0,0,0,0,0.000167,0,0,0,0,0,0,0,4.3e-05,0,0,0,0,7.6e-05,0
Olsenella,0,0,0.000104,1.4e-05,0,0,0,0,0,0,1.4e-05,2.7e-05,0,0,0,0,0,0,0,0,4.1e-05,0,0.000111,0,0,1.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,1.8e-05,0
Desulfovirgula,0,0,0,1.4e-05,0,0,0,0,0,0,0,0,0,1.5e-05,0,0,0,0,0,0,0,7.7e-05,0,0,0,0,2.1e-05,0,0,0,0,1.2e-05,0,0,0,2e-05,1.1e-05,0,0,0
Sporobacterium,0,0,0,1.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,7e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tolumonas,0,0,0,1.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavobacterium,0,0,0,1.4e-05,0,0,0,0,0,0,0,0,4.8e-05,0,0,0,0,0,0,0,0,0,0,0.001166,0.00012,0,1.8e-05,7e-06,0,1.6e-05,0,0,0.000168,0,7.9e-05,0,1.1e-05,0,0,0
Enterococcus,0,0,0,1.4e-05,0,0,0,0,1.6e-05,1.5e-05,0,0,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,1.4e-05,0,0,0.000245,8e-06,1.8e-05,0,0,2.9e-05,0.000139,0,3.7e-05,5.2e-05,0,0
Chlorochromatium,0,0,0,6.1e-05,2.7e-05,0,0,0,0,0,0,0,0,0,0,0,2.3e-05,4.4e-05,0,0,0,0,0,0,0,0,5.5e-05,4.9e-05,0,8e-06,0,0,0,0,4e-05,0,0,0,0,0
Octadecabacter,0,0,0,1.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sideroxydans,0,0,0,4.1e-05,0,0,0,0,0,0,0,0,1.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mogibacterium,0,0,0,1.4e-05,0,1.4e-05,0,0,8e-06,0,0,0,6e-06,6e-06,0,0,2.3e-05,1.5e-05,0,0,0,0,0,0,0,0,0,7e-06,0,0,0,0,0,0,0,0,0,1e-05,0,0
Catabacter,0,0,0,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,9e-06,3.6e-05,0,0,0,0,0,0,0,0,6e-06,0,0,0,0,0,0,0,0,0,0,0,0,0
Cellulosilyticum,0,0,0,5.4e-05,0,0,0,0,0,0,0,0,0,6e-06,0,0,0,7e-06,0,0,0,0,0,0,0,1.4e-05,6e-06,0,0,0,0,0,0,0,0,1.5e-05,0,0,0,0
Cronobacter,0,0,0,0.142922,0.003156,0.140505,0.144928,0.071666,4.9e-05,0.076454,0.041159,4e-05,9.2e-05,0.13145,7.4e-05,0.002745,0.088096,0.071,6.5e-05,0.000362,0,0.130854,0.001998,0.00038,0.263505,0.020932,0.078711,0.078968,0.04842,0.122663,0.059142,0.106559,0,0.080188,0.114288,0.029122,0.14382,0.09206,0.073906,0.130117
Cerasibacillus,0,0,0,1.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestinimonas,0,0,0,1.4e-05,0,3.6e-05,6.8e-05,0,3.3e-05,1.5e-05,0,0,0,6e-06,0,0,2.3e-05,1.5e-05,0,0,4.1e-05,0,0.000111,0,0,1.4e-05,3.7e-05,4e-05,2e-05,0,0,8e-06,0,0,0,0,0,1e-05,0,1.4e-05
Porphyrobacter,0,0,0,0,1.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudochrobactrum,0,0,0,0,8e-06,0,0,0,0,0,0,0,0,0,0,0,1.9e-05,0,4.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gallaecimonas,0,0,0,0,1.9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afipia,0,0,0,0,8e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteiniphilum,0,0,0,0,8e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9e-06
Myroides,0,0,0,0,2.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulfurimonas,0,0,0,0,8e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pediococcus,0,0,0,0,1.5e-05,0,0,0,0.000251,0,0,0,0,0,0,0,9e-06,4.4e-05,0,0,0,0,0,0,0,0,5.2e-05,7.2e-05,0,0,0,0.000122,0,0,0,0.000155,2.1e-05,0.000172,0,1.9e-05
Candidatus Curculioniphilus,0,0,0,0,8e-06,0,0,0,0,0,1.4e-05,0,0,0,0,2.3e-05,0,7e-06,0,0,0,0,0,0,0,0,9e-06,2e-05,0,0,1.8e-05,0,0,0,0,0,1.6e-05,0,0,0
Laceyella,0,0,0,0,8e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Photorhabdus,0,0,0,0,5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aerococcus,0,0,0,0,2.7e-05,1.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shuttleworthia,0,0,0,0,0.000124,0,1.7e-05,0,8e-06,0,1.4e-05,0,0,0,0,0,0,0,0,0,0,0,0.001055,0,0,0,0,0,8e-05,0,0,8e-06,0,0,0,0,0,0,5.9e-05,0
Acetanaerobacterium,0,0,0,0,8e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0
Agromyces,0,0,0,0,8e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
